id,title,date,type,location,metadata
1,Feira do Artesanato Tremembeense (FEIRARTTRE),2024-01-15,Artístico/Cultural/Folclórico,Tremembé/SP,"width=device-width, initial-scale=1"
2,Feira Livre de Bicas,2024-02-03,Gastronômico,Bicas/MG,"width=device-width, initial-scale=1"
3,Segundona do Turista 2024,2024-03-18,Artístico/Cultural/Folclórico,Aracaju/SE,"width=device-width, initial-scale=1"
4,EVENTO DAS QUATRO ESTAÇÕES,2024-05-04,Artístico/Cultural/Folclórico,Cachoeiras de Macacu/RJ,"width=device-width, initial-scale=1"
5,TRADICIONAL FESTA DE REINADO,2024-05-05,Religioso,Santo Antônio do Monte/MG,"width=device-width, initial-scale=1"
6,Tricofest,2024-05-10,Moda,Nova Petrópolis/RS,"width=device-width, initial-scale=1"
7,Exposição Multissensorial: 'Blow Up',2024-05-10,Artístico/Cultural/Folclórico,Belo Horizonte/MG,"width=device-width, initial-scale=1"
8,Gincana de charretes,2024-05-12,Rural,Holambra/SP,"width=device-width, initial-scale=1"
9,Festa Junina Beneficente de Votorantim,2024-05-29,Junino,Votorantim/SP,"width=device-width, initial-scale=1"
10,São João de Campina Grande,2024-05-29,Junino,Campina Grande/PB,"width=device-width, initial-scale=1"
11,GUAXUPÉ CAFÉ FESTIVAL,2024-05-30,Artístico/Cultural/Folclórico,Guaxupé/MG,"width=device-width, initial-scale=1"
12,Festejos Santo Antonio Tanquinho,2024-06-01,Junino,Lençóis/BA,"width=device-width, initial-scale=1"
13,Vila Junina,2024-06-01,Artístico/Cultural/Folclórico,Praia Grande/SP,"width=device-width, initial-scale=1"
14,Arraiá do Povo 2024,2024-06-01,Junino,Aracaju/SE,"width=device-width, initial-scale=1"
15,Festa do Vaqueiro de Morada Nova,2024-06-02,Artístico/Cultural/Folclórico,Morada Nova/CE,"width=device-width, initial-scale=1"
16,Festa de Santo Antônio,2024-06-04,Religioso,Nhamundá/AM,"width=device-width, initial-scale=1"
17,20ª Feira do Livro de Joinville,2024-06-06,Artístico/Cultural/Folclórico,Joinville/SC,"width=device-width, initial-scale=1"
18,EXPOTCHÊ,2024-06-07,Artístico/Cultural/Folclórico,Brasília/DF,"width=device-width, initial-scale=1"
19,CIRCUITO JUNINO,2024-06-08,Junino,São João da Barra/RJ,"width=device-width, initial-scale=1"
20,Cidade Junina,2024-06-08,Artístico/Cultural/Folclórico,Belo Horizonte/MG,"width=device-width, initial-scale=1"
21,Micareta Alto Folia,2024-06-08,Artístico/Cultural/Folclórico,Alto Santo/CE,"width=device-width, initial-scale=1"
22,FEIPET 2024,2024-06-09,Comercial ou Promocional,Novo Hamburgo/RS,"width=device-width, initial-scale=1"
23,São João da Vitória de Pé de Serra,2024-06-10,Junino,Vitória de Santo Antão/PE,"width=device-width, initial-scale=1"
